num0,num1,num2,num3,num4
29,1,3,35,8
6,23,32,49,48
12,41,47,46,6
11,22,15,12,21
43,35,6,31,36
46,27,42,23,8
15,37,4,20,6
46,25,47,2,35
6,43,29,13,27
2,12,38,15,10
36,45,9,24,17
32,19,34,26,27
44,18,28,49,30
24,46,9,2,13
5,7,28,23,2
46,36,45,15,19
45,33,47,15,23
40,24,19,1,28
1,8,48,38,3
28,23,34,44,14
14,44,34,25,4
15,2,1,41,30
24,8,9,40,31
40,6,38,23,32
45,7,38,4,26
34,25,45,44,4
33,28,48,44,26
45,30,4,2,23
43,28,33,37,29
12,2,25,35,7
35,16,38,46,25
38,49,20,16,40
31,16,27,24,46
17,44,7,40,39
19,40,32,13,46
17,20,48,16,34
32,23,39,35,14
20,40,31,7,23
8,7,35,36,26
12,39,26,14,29
29,49,35,18,39
25,6,32,7,4
3,12,22,9,37
5,7,44,15,33
12,17,1,20,3
40,10,38,26,45
4,49,20,7,21
25,3,8,49,24
20,35,30,3,29
5,1,35,27,40
35,24,44,38,32
9,39,10,15,45
5,10,28,34,22
32,39,22,11,34
39,42,36,27,22
39,46,2,9,44
21,38,17,1,46
16,5,14,29,17
34,4,48,42,22
17,38,37,11,39
15,35,11,28,9
41,22,3,37,40
37,28,23,38,6
45,10,5,40,32
38,1,4,23,30
14,21,24,2,38
13,43,31,47,46
26,42,13,7,24
15,47,39,25,41
29,21,31,47,17
18,29,49,37,5
3,33,4,49,14
30,48,7,31,46
10,5,49,47,1
37,24,34,9,8
43,16,10,25,44
18,20,4,12,26
32,20,22,46,34
16,47,43,24,26
34,31,36,24,37
2,47,40,31,49
17,40,10,27,23
27,47,23,48,14
31,1,12,32,28
11,37,44,13,21
44,45,46,43,31
7,28,4,11,10
38,33,39,27,26
20,5,22,23,18
9,23,17,42,6
33,4,35,22,2
22,12,38,13,14
20,27,21,26,7
37,30,24,27,45
30,26,48,41,47
1,12,41,7,21
14,23,22,45,36
21,33,4,14,32
4,44,29,32,24
23,45,7,2,46
6,33,7,9,15
23,37,38,7,15
37,30,17,12,41
46,20,13,47,8
6,27,5,21,47
8,13,1,43,31
31,36,42,23,8
44,20,11,9,42
45,46,4,13,33
10,39,33,9,47
4,41,30,27,21
36,29,44,46,35
32,3,22,18,17
3,15,13,29,40
6,20,48,12,38
23,22,33,36,10
15,6,11,28,24
12,34,16,26,10
16,48,21,5,26
40,10,37,34,12
20,2,29,39,18
10,26,46,35,5
44,38,33,49,41
1,49,12,39,24
11,5,32,49,9
16,47,33,21,5
32,8,21,41,25
8,27,29,15,41
37,26,36,14,1
46,4,3,43,22
43,9,21,36,27
29,39,28,22,30
33,15,6,12,14
2,6,10,32,17
32,24,49,39,40
22,24,41,21,32
26,13,29,15,20
45,22,28,40,37
44,48,31,46,21
37,15,18,31,46
48,31,24,11,38
11,37,49,28,40
25,32,31,36,10
42,29,25,46,8
14,16,33,38,45
15,38,7,4,40
26,3,39,17,30
44,27,41,8,43
4,27,5,15,22
19,10,30,13,47
23,20,1,26,44
14,43,34,41,35
22,42,43,17,25
17,45,30,32,6
33,36,34,38,22
30,36,14,6,39
21,18,33,49,48
32,20,6,12,14
6,25,48,21,37
41,20,46,11,24
22,23,12,47,25
10,46,2,31,38
34,47,11,37,38
23,38,36,18,19
16,45,34,42,26
28,26,1,30,16
29,16,36,7,15
23,18,34,5,44
26,18,3,49,46
30,26,35,44,31
25,28,46,12,27
14,34,39,24,47
19,12,8,41,16
44,9,18,17,42
37,40,36,4,43
34,7,8,41,42
39,13,12,31,26
31,12,9,40,41
44,32,11,48,7
19,2,18,22,4
7,39,31,38,42
47,27,26,43,1
46,11,43,12,30
41,16,44,27,15
31,48,43,37,3
6,36,35,10,48
26,35,16,22,42
41,27,36,35,9
23,15,46,5,37
21,20,19,43,49
26,7,1,9,28
22,29,19,15,34
44,34,20,8,41
44,15,5,19,7
6,46,35,20,8
6,39,28,13,33
12,26,31,40,37
20,35,49,18,16
5,40,13,14,9
12,10,45,15,31
39,38,21,2,9
48,22,4,30,27
4,30,24,21,40
5,3,49,33,15
7,34,27,12,15
3,31,36,13,40
41,49,30,45,35
49,27,32,24,17
32,34,18,44,3
48,43,46,11,8
19,9,29,26,3
13,22,31,11,21
46,8,2,19,29
4,7,12,24,25
22,27,13,10,49
4,28,42,49,35
43,13,21,5,6
37,43,45,28,38
7,24,36,6,47
21,36,22,20,44
24,44,46,42,7
22,6,46,7,17
1,28,3,29,8
42,5,34,21,37
24,40,5,31,22
27,25,6,37,32
3,28,15,4,2
31,8,47,11,17
36,18,38,31,29
38,31,8,37,30
43,3,38,42,46
37,18,8,44,46
43,36,3,32,45
33,48,13,2,19
8,44,6,48,31
4,28,48,8,15
37,24,38,13,45
1,16,6,3,40
44,21,25,18,47
3,44,46,27,14
22,23,35,46,3
40,12,47,21,19
9,2,5,29,10
16,33,41,2,24
6,28,34,7,11
45,16,6,37,25
33,34,25,3,26
25,3,13,32,47
32,4,36,44,9
20,1,22,5,42
11,44,47,29,7
9,2,45,19,7
28,17,41,3,23
23,42,3,17,47
7,31,29,24,47
19,11,22,36,9
44,12,13,17,27
41,35,40,6,24
36,48,46,41,8
44,8,11,48,37
27,25,5,34,38
4,15,10,49,12
2,34,41,32,8
41,12,26,42,36
45,31,6,49,39
49,17,36,44,27
38,37,17,34,30
27,25,20,23,47
43,14,26,7,11
9,35,15,8,4
35,19,9,16,43
32,22,2,12,15
17,1,38,2,45
2,27,24,35,22
41,28,18,13,38
16,11,18,8,10
22,38,28,37,9
15,6,34,39,24
42,18,14,4,27
45,18,46,3,30
29,38,33,15,41
47,22,19,4,10
26,42,33,20,34
24,8,38,19,40
11,22,3,13,30
38,8,41,49,19
4,14,21,47,8
4,29,42,43,11
47,18,41,10,19
3,37,26,15,24
21,36,19,39,49
34,31,35,41,29
13,22,17,6,12
13,17,31,28,9
44,13,29,15,33
19,10,9,29,5
44,42,15,9,47
17,31,26,37,21
1,18,45,17,21
17,5,33,9,37
27,44,25,23,6
13,31,49,7,3
1,19,13,24,48
21,11,22,40,32
5,43,10,48,25
44,20,14,22,36
32,42,30,17,41
33,46,8,17,1
49,12,27,11,7
41,21,32,47,11
31,39,30,49,19
5,27,7,24,41
36,20,13,31,38
41,34,42,22,1
31,3,40,35,2
5,3,39,31,38
10,31,36,37,44
30,29,49,23,10
21,6,41,17,16
47,48,13,34,2
14,31,9,45,23
47,17,48,39,24
45,27,48,4,38
34,20,14,35,9
23,14,40,46,27
28,9,26,29,18
9,25,2,47,35
1,26,14,31,10
15,20,12,6,1
49,17,44,5,46
28,11,14,43,41
7,47,16,33,42
40,26,17,24,43
15,17,10,37,16
26,18,41,38,5
45,5,48,42,30
29,10,16,14,9
42,43,38,33,31
22,35,9,28,13
25,43,30,2,19
33,7,8,12,22
8,25,4,12,45
35,48,33,21,15
7,35,48,28,25
28,23,24,9,20
19,42,32,26,39
18,7,21,42,11
48,26,31,47,42
17,30,6,49,19
6,22,19,5,9
31,36,9,33,18
26,24,49,32,2
33,22,44,6,35
4,31,49,8,39
11,5,25,23,33
46,41,38,19,16
33,42,27,46,32
28,19,49,23,17
23,49,5,13,32
16,46,12,21,24
24,48,20,29,45
37,35,31,44,14
22,15,19,24,46
14,23,21,47,3
7,16,17,4,11
23,15,38,21,39
13,45,4,40,31
28,18,22,37,19
7,11,5,32,33
35,11,13,4,34
6,1,39,48,40
5,41,3,42,15
17,47,30,3,44
28,38,2,1,11
35,42,49,4,6
46,32,22,15,17
43,48,42,23,30
17,18,25,38,9
47,46,7,19,39
19,24,45,15,25
18,10,6,15,48
4,28,38,20,18
8,42,22,28,26
11,42,22,34,43
6,12,4,35,44
24,3,35,46,2
32,6,35,28,40
30,48,37,9,26
2,11,42,30,35
23,13,27,44,36
44,47,5,13,14
21,29,20,47,46
1,39,2,6,27
36,8,31,34,17
9,36,5,21,39
8,24,33,38,14
26,13,10,20,46
22,49,26,2,47
25,32,6,5,28
47,36,20,11,9
8,22,26,46,2
14,7,43,44,29
12,13,26,44,16
24,26,2,36,32
5,14,42,44,16
29,6,12,44,31
9,26,30,42,36
22,28,3,23,29
45,14,39,20,47
20,30,35,14,10
26,27,41,46,19
43,4,17,38,49
34,5,33,3,17
48,39,29,47,35
48,36,14,15,10
39,8,9,33,15
43,22,12,30,9
25,29,47,5,7
41,11,19,29,14
49,6,24,13,10
28,30,43,40,41
37,5,9,7,41
45,1,33,47,27
16,1,31,48,3
42,1,19,23,17
8,43,1,48,41
16,9,19,26,6
23,29,18,35,7
40,2,35,39,42
41,48,42,28,3
21,37,12,17,23
35,23,26,32,22
40,45,24,32,34
28,49,5,48,21
16,37,8,7,42
48,10,46,28,29
44,16,4,40,23
28,41,38,31,43
38,45,5,14,46
26,41,5,33,42
5,35,37,4,24
10,17,33,30,49
42,26,21,39,40
37,24,19,10,5
20,6,30,32,45
20,15,27,9,47
4,39,26,5,24
40,16,21,41,46
44,39,7,41,19
48,4,25,5,45
47,38,17,30,43
15,49,37,25,38
47,31,12,45,7
30,21,6,11,29
49,20,7,31,33
36,25,22,21,16
31,30,6,14,45
27,12,10,7,41
36,17,30,7,11
25,28,42,26,12
13,38,31,30,26
12,1,33,13,2
35,19,8,22,46
16,11,25,32,14
48,14,2,23,13
17,44,29,16,37
49,10,19,26,30
22,9,43,31,34
11,7,32,24,4
12,38,34,32,48
24,48,49,18,8
36,40,45,24,15
37,36,32,20,7
48,23,27,19,22
23,6,17,5,7
38,26,39,35,10
3,48,17,4,38
25,33,48,1,40
1,34,15,24,25
40,29,44,38,10
8,30,26,35,40
39,28,14,11,42
7,25,17,48,16
44,2,15,29,18
44,41,35,33,38
4,27,28,9,22
22,23,7,30,37
31,44,6,15,12
10,49,30,12,29
22,13,10,35,19
28,14,27,13,25
26,24,6,18,29
43,27,23,44,42
16,9,42,1,39
41,1,18,16,13
46,13,48,2,22
46,17,36,35,18
11,30,44,13,20
49,44,31,33,40
13,42,40,48,3
36,23,24,31,32
19,30,5,18,35
16,48,18,24,6
27,16,12,37,10
14,39,17,44,36
19,4,2,35,11
30,2,38,16,31
33,37,32,35,49
43,2,33,23,47
18,15,12,19,40
7,1,26,22,15
36,20,42,34,29
15,42,41,44,8
16,6,36,5,3
42,35,31,32,13
28,23,18,26,19
35,19,6,27,14
42,2,44,28,5
16,12,27,30,2
25,2,4,7,35
6,2,44,33,21
47,21,25,19,38
14,25,47,7,42
4,21,46,27,47
23,31,15,38,17
17,3,38,1,25
14,31,7,28,2
1,21,28,8,37
45,17,27,48,34
31,30,9,20,34
37,4,12,9,18
26,28,36,29,5
5,45,22,26,33
10,4,5,23,7
32,18,8,36,30
6,29,3,47,21
25,28,39,47,31
39,25,10,32,40
28,37,44,11,7
21,17,29,35,18
26,4,27,47,28
10,1,19,13,3
27,18,49,37,48
7,21,29,35,47
26,11,38,20,33
13,6,2,27,12
39,38,8,31,45
38,23,41,3,17
46,42,1,4,3
4,47,43,30,7
33,16,1,32,45
13,20,10,25,27
45,46,4,36,18
20,49,31,12,13
2,13,20,30,37
25,31,45,38,3
9,24,18,49,39
14,41,9,10,45
28,47,26,38,17
42,12,9,41,33
35,26,13,45,20
36,48,14,13,6
33,13,28,18,42
42,47,2,13,43
1,48,27,49,37
32,14,43,29,41
19,4,10,42,46
38,44,46,27,42
15,24,37,40,41
24,44,34,19,45
2,16,4,20,35
23,38,5,24,35
38,18,3,24,29
26,48,25,16,34
33,43,39,6,29
27,17,26,25,33
3,11,35,13,15
39,7,21,29,5
4,30,15,49,45
29,17,34,48,8
32,44,40,17,38
17,9,1,24,46
22,23,14,42,16
24,9,26,15,13
19,26,13,27,24
16,38,18,45,10
32,14,35,46,11
15,44,41,3,2
49,45,25,10,19
46,47,23,22,24
12,1,40,28,26
13,3,21,2,40
38,23,45,24,44
33,19,1,31,22
29,5,20,8,32
25,24,16,6,5
32,47,43,35,15
14,23,15,44,46
4,15,11,36,33
46,42,38,25,16
14,1,34,19,4
7,44,37,48,38
3,45,13,4,44
25,29,8,34,15
18,9,11,33,7
8,7,25,11,46
43,41,29,14,7
43,15,13,48,25
47,40,45,42,3
4,15,21,26,22
40,12,37,24,42
32,27,5,7,35
20,47,15,11,30
37,15,30,6,47
30,14,12,16,42
25,17,41,24,38
17,26,30,47,20
37,10,39,16,34
15,11,10,1,31
35,33,44,1,11
19,24,11,34,25
6,19,46,21,15
1,19,12,31,7
48,18,40,7,6
36,12,29,2,26
43,24,34,27,14
26,30,42,38,12
45,9,5,24,11
10,22,34,43,46
44,46,31,11,22
21,3,25,10,11
2,9,25,35,30
38,1,3,32,30
39,21,45,12,44
8,34,16,13,37
25,38,11,29,14
6,19,41,17,18
1,15,9,19,39
15,6,3,23,39
3,38,30,10,15
36,30,34,14,21
15,11,5,22,10
22,45,20,21,23
33,46,21,20,28
42,20,27,22,12
36,41,15,49,48
13,14,37,21,15
20,43,18,44,30
33,27,3,20,6
9,11,39,29,32
6,29,8,9,39
34,14,2,28,38
9,42,24,43,22
26,21,36,29,35
28,45,34,36,9
10,4,29,19,47
7,17,31,12,48
33,13,7,2,41
8,14,25,19,49
1,36,45,4,22
5,24,38,29,4
46,1,4,23,24
49,39,8,48,1
31,24,11,20,32
6,1,40,7,2
31,7,15,10,17
40,18,15,36,10
12,30,17,8,6
14,37,39,18,38
15,42,4,27,25
43,42,8,15,26
11,26,1,46,13
11,33,24,35,4
27,20,19,46,38
6,19,22,34,20
7,39,34,6,15
18,2,15,1,41
32,35,11,41,42
17,45,19,40,31
40,17,24,18,10
29,6,15,44,16
16,42,12,6,40
15,48,42,18,40
33,37,31,16,49
40,21,47,27,6
10,19,21,2,40
41,27,44,46,14
5,19,29,15,24
30,4,37,32,23
41,23,9,32,38
47,15,45,35,17
33,7,13,41,43
7,23,13,18,21
35,27,22,20,30
7,20,41,40,11
44,18,9,28,1
18,26,27,43,35
36,31,9,16,3
47,37,45,3,20
11,46,1,22,42
9,21,19,36,40
41,3,34,11,10
41,23,16,20,45
48,38,36,45,16
5,36,23,29,45
26,11,9,41,8
14,9,21,13,32
41,32,49,10,36
43,33,8,30,6
34,2,7,13,44
35,17,8,43,19
20,48,15,29,49
44,41,49,25,14
7,16,5,9,12
43,5,33,6,47
8,38,48,16,35
18,13,31,7,35
4,44,41,36,33
35,10,25,21,23
26,24,2,43,3
14,29,3,36,25
20,4,46,16,5
5,47,30,45,12
44,37,7,23,41
40,33,23,1,5
6,23,9,47,5
10,23,35,34,5
43,13,10,23,46
9,30,47,41,15
8,1,14,10,21
43,48,49,36,7
36,14,40,31,47
21,23,5,10,36
2,33,20,29,32
26,20,2,11,39
18,11,38,17,46
16,25,6,21,26
24,5,49,36,1
40,46,32,17,1
1,32,20,28,42
26,34,10,45,7
19,40,22,45,36
28,34,18,13,14
42,2,41,18,31
43,39,15,5,45
27,17,37,10,4
31,11,44,35,26
31,45,21,30,29
20,15,27,46,24
48,43,36,30,13
36,46,13,4,3
27,7,10,38,13
5,47,23,21,18
13,6,18,36,37
44,38,25,17,41
3,4,8,2,31
42,5,49,31,28
13,34,39,42,37
12,6,9,31,43
12,41,2,28,16
32,9,8,29,28
49,48,14,22,38
13,3,44,19,5
27,35,48,3,32
19,31,2,40,42
44,13,17,48,33
7,29,1,30,45
22,9,23,38,13
29,26,16,4,49
11,32,27,36,21
45,10,9,34,39
9,37,35,23,28
31,11,16,1,14
44,32,27,38,46
16,25,40,49,4
15,28,22,2,5
48,35,20,31,36
7,49,18,9,16
8,44,37,43,45
45,40,17,6,31
34,44,27,23,4
7,43,10,9,14
40,28,35,13,12
22,6,48,7,14
